Time,Chemical concentration readings
1/8/1975 14:00,16.4
1/8/1975 16:00,16.3
1/8/1975 18:00,16.4
1/8/1975 20:00,17
1/8/1975 22:00,16.9
1/9/1975 0:00,17.1
1/9/1975 2:00,17.1
1/9/1975 4:00,16.7
1/9/1975 6:00,16.9
1/9/1975 8:00,16.5
1/9/1975 10:00,17.2
1/9/1975 12:00,16.4
1/9/1975 14:00,17
1/9/1975 16:00,17
1/9/1975 18:00,16.7
1/9/1975 20:00,16.2
1/9/1975 22:00,16.6
1/10/1975 0:00,16.9
1/10/1975 2:00,16.5
1/10/1975 4:00,16.6
1/10/1975 6:00,16.6
1/10/1975 8:00,17
1/10/1975 10:00,17.1
1/10/1975 12:00,17.1
1/10/1975 14:00,16.7
1/10/1975 16:00,16.8
1/10/1975 18:00,16.3
1/10/1975 20:00,16.6
1/10/1975 22:00,16.8
1/11/1975 0:00,16.9
1/11/1975 2:00,17.1
1/11/1975 4:00,16.8
1/11/1975 6:00,17
1/11/1975 8:00,17.2
1/11/1975 10:00,17.3
1/11/1975 12:00,17.2
1/11/1975 14:00,17.3
1/11/1975 16:00,17.2
1/11/1975 18:00,17.2
1/11/1975 20:00,17.5
1/11/1975 22:00,16.9
1/12/1975 0:00,16.9
1/12/1975 2:00,16.9
1/12/1975 4:00,17
1/12/1975 6:00,16.5
1/12/1975 8:00,16.7
1/12/1975 10:00,16.8
1/12/1975 12:00,16.7
1/12/1975 14:00,16.7
1/12/1975 16:00,16.6
1/12/1975 18:00,16.5
1/12/1975 20:00,17
1/12/1975 22:00,16.7
1/13/1975 0:00,16.7
1/13/1975 2:00,16.9
1/13/1975 4:00,17.4
1/13/1975 6:00,17.1
1/13/1975 8:00,17
1/13/1975 10:00,16.8
1/13/1975 12:00,17.2
1/13/1975 14:00,17.2
1/13/1975 16:00,17.4
1/13/1975 18:00,17.2
1/13/1975 20:00,16.9
1/13/1975 22:00,16.8
1/14/1975 0:00,17
1/14/1975 2:00,17.4
1/14/1975 4:00,17.2
1/14/1975 6:00,17.2
1/14/1975 8:00,17.1
1/14/1975 10:00,17.1
1/14/1975 12:00,17.1
1/14/1975 14:00,17.4
1/14/1975 16:00,17.2
1/14/1975 18:00,16.9
1/14/1975 20:00,16.9
1/14/1975 22:00,17
1/15/1975 0:00,16.7
1/15/1975 2:00,16.9
1/15/1975 4:00,17.3
1/15/1975 6:00,17.8
1/15/1975 8:00,17.8
1/15/1975 10:00,17.6
1/15/1975 12:00,17.5
1/15/1975 14:00,17
1/15/1975 16:00,16.9
1/15/1975 18:00,17.1
1/15/1975 20:00,17.2
1/15/1975 22:00,17.4
1/16/1975 0:00,17.5
1/16/1975 2:00,17.9
1/16/1975 4:00,17
1/16/1975 6:00,17
1/16/1975 8:00,17
1/16/1975 10:00,17.2
1/16/1975 12:00,17.3
1/16/1975 14:00,17.4
1/16/1975 16:00,17.4
1/16/1975 18:00,17
1/16/1975 20:00,18
1/16/1975 22:00,18.2
1/17/1975 0:00,17.6
1/17/1975 2:00,17.8
1/17/1975 4:00,17.7
1/17/1975 6:00,17.2
1/17/1975 8:00,17.4
